order_id,order_date,product,category,region,quantity,unit_price,discount,revenue,payment_method,year,month,month_name,day_of_week,is_weekend,gross_sales,discount_amount,profit,profit_margin,region_code,order_size
ORD00662,2025-01-01,Headphones,Accessories,West,3,3500,0.2483806307864607,7892.0,Cash,2025,1,January,Wednesday,0,10500,2607.996623257837,1183.8,0.15,4,Low
ORD00283,2025-01-01,Headphones,Accessories,East,3,3500,0.148239157787404,8943.49,Card,2025,1,January,Wednesday,0,10500,1556.5111567677422,1341.5235,0.15,3,Low
ORD00960,2025-01-01,Tablet,Electronics,East,3,22000,0.0106144882070245,65299.44,Card,2025,1,January,Wednesday,0,66000,700.556221663617,9794.916,0.15,3,High
ORD00370,2025-01-02,Headphones,Accessories,North,7,3500,0.1235786333836544,21472.32,Cash,2025,1,January,Thursday,0,24500,3027.6765178995324,3220.848,0.15,1,Low
ORD00497,2025-01-02,Laptop,Electronics,East,4,65000,0.04713255846854,247745.53,Cash,2025,1,January,Thursday,0,260000,12254.465201820401,37161.8295,0.15,3,High
ORD00085,2025-01-03,Headphones,Accessories,East,3,3500,0.2316923478722483,8067.23,UPI,2025,1,January,Friday,0,10500,2432.769652658607,1210.0845,0.15,3,Low
ORD01044,2025-01-03,Phone,Electronics,West,1,30000,0.0636373286568205,28090.88,Net Banking,2025,1,January,Friday,0,30000,1909.1198597046148,4213.632,0.15,4,Low
ORD00919,2025-01-03,Phone,Electronics,North,4,30000,0.0270623603687142,116752.52,Card,2025,1,January,Friday,0,120000,3247.4832442457036,17512.878,0.15,1,High
ORD00803,2025-01-04,Tablet,Electronics,Unknown,3,22000,0.2382437903900258,50275.91,Card,2025,1,January,Saturday,1,66000,15724.090165741703,7541.3865000000005,0.15,0,High
ORD01116,2025-01-05,Tablet,Electronics,West,1,22000,0.0718682546371057,20418.9,UPI,2025,1,January,Sunday,1,22000,1581.1016020163252,3062.835,0.15,4,Low
ORD01080,2025-01-05,Monitor,Electronics,South,5,15000,0.1620994213008403,62842.54,Net Banking,2025,1,January,Sunday,1,75000,12157.456597563021,9426.381,0.15,2,High
ORD00278,2025-01-05,Headphones,Accessories,West,3,3500,0.248703723207402,7888.61,Net Banking,2025,1,January,Sunday,1,10500,2611.389093677721,1183.2914999999998,0.15,4,Low
ORD00638,2025-01-05,Phone,Electronics,North,3,30000,0.1079864152501204,80281.22,Cash,2025,1,January,Sunday,1,90000,9718.777372510836,12042.182999999999,0.15,1,High
ORD00342,2025-01-06,Phone,Electronics,West,2,30000,0.0601882678035673,56388.7,Net Banking,2025,1,January,Monday,0,60000,3611.296068214038,8458.304999999998,0.15,4,High
ORD00131,2025-01-06,Tablet,Electronics,North,4,22000,0.193726975845332,70952.03,Card,2025,1,January,Monday,0,88000,17047.973874389216,10642.8045,0.15,1,High
ORD00945,2025-01-07,Laptop,Electronics,West,3,65000,0.0771149056244375,179962.59,Cash,2025,1,January,Tuesday,0,195000,15037.406596765313,26994.388499999997,0.15,4,High
ORD00268,2025-01-07,Phone,Electronics,North,3,30000,0.0571614006655286,84855.47,Cash,2025,1,January,Tuesday,0,90000,5144.526059897574,12728.3205,0.15,1,High
ORD00611,2025-01-08,Monitor,Electronics,South,2,15000,0.0555919819742026,28332.24,Cash,2025,1,January,Wednesday,0,30000,1667.759459226078,4249.836,0.15,2,Low
ORD01097,2025-01-08,Monitor,Electronics,North,2,15000,0.1821204667254828,24536.39,Net Banking,2025,1,January,Wednesday,0,30000,5463.614001764484,3680.4584999999997,0.15,1,Low
ORD00821,2025-01-08,Laptop,Electronics,West,3,65000,0.1628337496850116,163247.42,Card,2025,1,January,Wednesday,0,195000,31752.581188577264,24487.113,0.15,4,High
ORD00946,2025-01-08,Laptop,Electronics,East,4,65000,0.2323105610015375,199599.25,Card,2025,1,January,Wednesday,0,260000,60400.74586039975,29939.887499999997,0.15,3,High
ORD00821,2025-01-08,Laptop,Electronics,West,12,65000,0.1628337496850116,163247.42,Card,2025,1,January,Wednesday,0,780000,127010.32475430905,24487.113,0.15,4,High
ORD00235,2025-01-08,Tablet,Electronics,West,3,22000,0.0514549482532518,62603.97,Card,2025,1,January,Wednesday,0,66000,3396.026584714619,9390.5955,0.15,4,High
ORD00974,2025-01-09,Tablet,Electronics,East,6,22000,0.0379504332697078,126990.54,Cash,2025,1,January,Thursday,0,132000,5009.45719160143,19048.581,0.15,3,High
ORD00729,2025-01-10,Tablet,Electronics,North,2,22000,0.0046094507187984,43797.18,Net Banking,2025,1,January,Friday,0,44000,202.81583162712963,6569.577,0.15,1,Low
ORD00113,2025-01-10,Tablet,Electronics,South,6,22000,0.1447443811875606,112893.74,Cash,2025,1,January,Friday,0,132000,19106.258316758,16934.061,0.15,2,High
ORD00362,2025-01-10,Monitor,Electronics,West,2,15000,0.153379121182458,25398.63,UPI,2025,1,January,Friday,0,30000,4601.37363547374,3809.7945,0.15,4,Low
ORD00605,2025-01-10,Monitor,Electronics,South,1,15000,0.1686875890950558,12469.69,Net Banking,2025,1,January,Friday,0,15000,2530.313836425837,1870.4535,0.15,2,Low
ORD00314,2025-01-10,Phone,Electronics,North,3,30000,0.1868174500480174,73186.43,Card,2025,1,January,Friday,0,90000,16813.570504321564,10977.964499999998,0.15,1,High
ORD00629,2025-01-11,Tablet,Electronics,South,5,22000,0.2304212460593926,84653.66,Cash,2025,1,January,Saturday,1,110000,25346.337066533186,12698.049,0.15,2,High
ORD00830,2025-01-11,Laptop,Electronics,South,3,65000,0.148378898110548,166066.11,Cash,2025,1,January,Saturday,1,195000,28933.88513155686,24909.916499999996,0.15,2,High
ORD00410,2025-01-12,Laptop,Electronics,West,1,65000,0.1081288983105915,57971.62,UPI,2025,1,January,Sunday,1,65000,7028.378390188447,8695.743,0.15,4,High
ORD00320,2025-01-12,Headphones,Accessories,South,4,3500,0.0494167455636598,13308.17,UPI,2025,1,January,Sunday,1,14000,691.8344378912371,1996.2255,0.15,2,Low
ORD00596,2025-01-12,Monitor,Electronics,South,2,15000,0.0737548021780988,27787.36,Card,2025,1,January,Sunday,1,30000,2212.644065342964,4168.104,0.15,2,Low
ORD00703,2025-01-13,Laptop,Electronics,East,6,65000,0.2121980282840221,307242.77,Card,2025,1,January,Monday,0,390000,82757.23103076861,46086.4155,0.15,3,High
ORD00700,2025-01-13,Laptop,Electronics,South,3,65000,0.0137337472994173,192321.92,Card,2025,1,January,Monday,0,195000,2678.0807233863734,28848.288,0.15,2,High
ORD00202,2025-01-13,Monitor,Electronics,West,2,15000,0.0157792926759677,29526.62,Net Banking,2025,1,January,Monday,0,30000,473.378780279031,4428.9929999999995,0.15,4,Low
ORD01038,2025-01-13,Laptop,Electronics,East,2,65000,0.0800402422232173,119594.77,Card,2025,1,January,Monday,0,130000,10405.23148901825,17939.2155,0.15,3,High
ORD00269,2025-01-13,Headphones,Accessories,South,6,3500,0.180476694878169,17209.99,Net Banking,2025,1,January,Monday,0,21000,3790.010592441549,2581.4985,0.15,2,Low
ORD00667,2025-01-13,Tablet,Electronics,North,1,22000,0.2332333646133763,16868.87,Cash,2025,1,January,Monday,0,22000,5131.134021494278,2530.3304999999996,0.15,1,Low
ORD00145,2025-01-14,Monitor,Electronics,North,2,15000,0.2455360740794611,22633.92,Cash,2025,1,January,Tuesday,0,30000,7366.082222383833,3395.0879999999997,0.15,1,Low
ORD00169,2025-01-14,Phone,Electronics,West,7,30000,0.0471185757530753,200105.1,UPI,2025,1,January,Tuesday,0,210000,9894.900908145813,30015.765,0.15,4,High
ORD00940,2025-01-14,Tablet,Electronics,West,3,22000,0.2110680893956111,52069.51,UPI,2025,1,January,Tuesday,0,66000,13930.493900110334,7810.4265,0.15,4,High
ORD00828,2025-01-15,Monitor,Electronics,North,7,15000,0.0944594110482059,95081.76,UPI,2025,1,January,Wednesday,0,105000,9918.23816006162,14262.264,0.15,1,High
ORD00334,2025-01-16,Monitor,Electronics,North,2,15000,0.1762570491310482,24712.29,Cash,2025,1,January,Thursday,0,30000,5287.711473931446,3706.8435,0.15,1,Low
ORD00822,2025-01-17,Headphones,Accessories,East,5,3500,0.0271667427010671,17024.58,Card,2025,1,January,Friday,0,17500,475.41799726867424,2553.6870000000004,0.15,3,Low
ORD00880,2025-01-17,Headphones,Accessories,East,1,3500,0.0077674000174599,3472.81,Net Banking,2025,1,January,Friday,0,3500,27.18590006110965,520.9214999999999,0.14999999999999997,3,Low
ORD00293,2025-01-18,Monitor,Electronics,North,1,15000,0.1620459324167835,12569.31,UPI,2025,1,January,Saturday,1,15000,2430.6889862517523,1885.3964999999998,0.15,1,Low
ORD00094,2025-01-18,Phone,Electronics,South,1,30000,0.080178886673519,27594.63,Card,2025,1,January,Saturday,1,30000,2405.3666002055697,4139.1945,0.14999999999999997,2,Low
ORD00748,2025-01-18,Phone,Electronics,North,7,30000,0.2323932288918054,161197.42,UPI,2025,1,January,Saturday,1,210000,48802.57806727913,24179.613,0.15,1,High
ORD01191,2025-01-19,Tablet,Electronics,South,4,22000,0.1480332062259167,74973.08,Net Banking,2025,1,January,Sunday,1,88000,13026.92214788067,11245.962,0.15,2,High
ORD00255,2025-01-19,Headphones,Accessories,South,5,3500,0.086975193939148,15977.93,Cash,2025,1,January,Sunday,1,17500,1522.0658939350901,2396.6895,0.15,2,Low
ORD00186,2025-01-19,Tablet,Electronics,West,2,22000,0.0100998072105407,43555.61,UPI,2025,1,January,Sunday,1,44000,444.3915172637908,6533.3414999999995,0.15,4,Low
ORD00152,2025-01-19,Phone,Electronics,West,3,30000,0.2094292145467602,71151.37,Net Banking,2025,1,January,Sunday,1,90000,18848.629309208416,10672.705499999998,0.15,4,High
ORD00419,2025-01-19,Phone,Electronics,West,1,30000,0.2485194431130946,22544.42,Card,2025,1,January,Sunday,1,30000,7455.583293392838,3381.6629999999996,0.15,4,Low
ORD00212,2025-01-20,Headphones,Accessories,East,4,3500,0.243974385091974,10584.36,UPI,2025,1,January,Monday,0,14000,3415.641391287636,1587.654,0.15,3,Low
ORD00846,2025-01-20,Laptop,Electronics,East,7,65000,0.0105865284996762,450183.13,Card,2025,1,January,Monday,0,455000,4816.870467352671,67527.46949999999,0.15,3,High
ORD00675,2025-01-21,Headphones,Accessories,East,3,3500,0.2265267026912954,8121.47,Card,2025,1,January,Tuesday,0,10500,2378.5303782586016,1218.2205,0.15,3,Low
ORD00853,2025-01-21,Monitor,Electronics,East,3,15000,0.113126982881096,39909.29,Card,2025,1,January,Tuesday,0,45000,5090.71422964932,5986.3935,0.15,3,Low
ORD00055,2025-01-21,Tablet,Electronics,West,5,22000,0.0304922410524057,106645.85,UPI,2025,1,January,Tuesday,0,110000,3354.146515764627,15996.8775,0.15,4,High
ORD00737,2025-01-21,Headphones,Accessories,South,3,3500,0.1187556110010901,9253.07,UPI,2025,1,January,Tuesday,0,10500,1246.933915511446,1387.9605,0.15,2,Low
ORD00217,2025-01-21,Laptop,Electronics,South,5,65000,0.1364189235202619,280663.85,Net Banking,2025,1,January,Tuesday,0,325000,44336.15014408511,42099.57749999999,0.15,2,High
ORD00457,2025-01-22,Laptop,Electronics,South,6,65000,0.0561723686364684,368092.78,Net Banking,2025,1,January,Wednesday,0,390000,21907.223768222677,55213.917,0.15,2,High
ORD00093,2025-01-22,Monitor,Electronics,North,4,15000,0.1385997558449409,51684.01,Card,2025,1,January,Wednesday,0,60000,8315.985350696454,7752.6015,0.15,1,High
ORD01016,2025-01-22,Monitor,Electronics,West,3,15000,0.0219398456928876,44012.71,Cash,2025,1,January,Wednesday,0,45000,987.293056179942,6601.9065,0.15,4,Low
ORD00073,2025-01-22,Tablet,Electronics,East,7,22000,0.0993812561387482,138695.29,Cash,2025,1,January,Wednesday,0,154000,15304.713445367222,20804.2935,0.15,3,High
ORD00061,2025-01-22,Monitor,Electronics,South,2,15000,0.0110437757360403,29668.69,UPI,2025,1,January,Wednesday,0,30000,331.313272081209,4450.3035,0.15,2,Low
ORD01050,2025-01-22,Laptop,Electronics,East,3,65000,0.086345848292373,178162.56,Net Banking,2025,1,January,Wednesday,0,195000,16837.440417012735,26724.384,0.15,3,High
ORD00585,2025-01-23,Tablet,Electronics,East,6,22000,0.0615880604458067,123870.38,Card,2025,1,January,Thursday,0,132000,8129.623978846484,18580.557,0.15,3,High
ORD00806,2025-01-23,Headphones,Accessories,East,1,3500,0.2212732470567001,2725.54,Net Banking,2025,1,January,Thursday,0,3500,774.4563646984503,408.83099999999996,0.15,3,Low
ORD01174,2025-01-23,Laptop,Electronics,South,3,65000,0.0627132229137805,182770.92,UPI,2025,1,January,Thursday,0,195000,12229.078468187197,27415.638000000003,0.15,2,High
ORD00896,2025-01-24,Headphones,Accessories,West,6,3500,0.0856625740084101,19201.09,Card,2025,1,January,Friday,0,21000,1798.9140541766121,2880.1635,0.15,4,Low
ORD00559,2025-01-25,Headphones,Accessories,West,4,3500,0.2257231719075708,10839.88,Net Banking,2025,1,January,Saturday,1,14000,3160.124406705991,1625.9819999999997,0.15,4,Low
ORD00509,2025-01-25,Phone,Electronics,East,2,30000,0.218884761131809,46866.91,Card,2025,1,January,Saturday,1,60000,13133.08566790854,7030.0365,0.15,3,Low
ORD00501,2025-01-25,Laptop,Electronics,North,2,65000,0.2294649991564335,100169.55,Cash,2025,1,January,Saturday,1,130000,29830.449890336356,15025.432499999999,0.15,1,High
ORD00038,2025-01-25,Monitor,Electronics,South,1,15000,0.1056835085680155,13414.75,Card,2025,1,January,Saturday,1,15000,1585.2526285202325,2012.2124999999999,0.15,2,Low
ORD01170,2025-01-25,Monitor,Electronics,West,2,15000,0.1303608025394985,26089.18,Net Banking,2025,1,January,Saturday,1,30000,3910.824076184955,3913.377,0.15,4,Low
ORD00054,2025-01-26,Tablet,Electronics,South,6,22000,0.154892314077578,111554.21,Net Banking,2025,1,January,Sunday,1,132000,20445.785458240298,16733.1315,0.15,2,High
ORD00536,2025-01-26,Laptop,Electronics,West,6,65000,0.1865169947398412,317258.37,Unknown,2025,1,January,Sunday,1,390000,72741.62794853807,47588.7555,0.15,4,High
ORD00730,2025-01-27,Headphones,Accessories,South,7,3500,0.1097946283014836,21810.03,Card,2025,1,January,Monday,0,24500,2689.968393386348,3271.5044999999996,0.15,2,Low
ORD00623,2025-01-27,Laptop,Electronics,West,3,65000,0.1321643845270727,169227.95,UPI,2025,1,January,Monday,0,195000,25772.054982779173,25384.1925,0.15,4,High
ORD00897,2025-01-28,Tablet,Electronics,South,7,22000,0.00974484438433,152499.29,Card,2025,1,January,Tuesday,0,154000,1500.70603518682,22874.893500000002,0.15,2,High
ORD00784,2025-01-28,Laptop,Electronics,East,6,65000,0.0604248994952827,366434.29,Card,2025,1,January,Tuesday,0,390000,23565.710803160255,54965.1435,0.15,3,High
ORD00366,2025-01-29,Tablet,Electronics,South,4,22000,0.1152328477682775,77859.51,Net Banking,2025,1,January,Wednesday,0,88000,10140.49060360842,11678.9265,0.15,2,High
ORD00791,2025-01-30,Laptop,Electronics,West,4,65000,0.0221005726751686,254253.85,UPI,2025,1,January,Thursday,0,260000,5746.148895543836,38138.0775,0.15,4,High
ORD00708,2025-01-30,Tablet,Electronics,South,2,22000,0.0179492855900114,43210.23,Cash,2025,1,January,Thursday,0,44000,789.7685659605016,6481.534500000001,0.15,2,Low
ORD00339,2025-01-30,Phone,Electronics,West,5,30000,0.2037682740546885,119434.76,Card,2025,1,January,Thursday,0,150000,30565.241108203274,17915.214,0.15,4,High
ORD00462,2025-01-31,Laptop,Electronics,South,5,65000,0.1598125850890425,273060.91,Card,2025,1,January,Friday,0,325000,51939.090153938814,40959.13649999999,0.15,2,High
ORD00567,2025-02-01,Phone,Electronics,North,4,30000,0.2474557673012183,90305.31,Net Banking,2025,2,February,Saturday,1,120000,29694.692076146195,13545.796499999999,0.15,1,High
ORD00429,2025-02-01,Laptop,Electronics,East,3,65000,0.0488739568491468,185469.58,Cash,2025,2,February,Saturday,1,195000,9530.421585583626,27820.436999999998,0.15,3,High
ORD01076,2025-02-01,Laptop,Electronics,East,3,65000,0.0091075489207208,193224.03,Net Banking,2025,2,February,Saturday,1,195000,1775.972039540556,28983.604499999998,0.15,3,High
ORD00379,2025-02-01,Phone,Electronics,East,1,30000,0.2487060534052169,22538.82,Cash,2025,2,February,Saturday,1,30000,7461.181602156507,3380.823,0.15,3,Low
ORD00126,2025-02-02,Tablet,Electronics,North,2,22000,0.2196909049456349,34333.6,Net Banking,2025,2,February,Sunday,1,44000,9666.399817607935,5150.04,0.15,1,Low
ORD00992,2025-02-02,Tablet,Electronics,West,3,22000,0.1409656008678285,56696.27,Card,2025,2,February,Sunday,1,66000,9303.72965727668,8504.440499999999,0.15,4,High
ORD00394,2025-02-02,Tablet,Electronics,East,1,22000,0.1007199021269074,19784.16,Cash,2025,2,February,Sunday,1,22000,2215.837846791963,2967.624,0.15,3,Low
ORD00735,2025-02-02,Phone,Electronics,South,2,30000,0.1779264552298469,49324.41,Cash,2025,2,February,Sunday,1,60000,10675.587313790815,7398.6615,0.15,2,Low
ORD00765,2025-02-03,Phone,Electronics,South,6,30000,0.1849425066415375,146710.35,UPI,2025,2,February,Monday,0,180000,33289.65119547675,22006.5525,0.15,2,High
ORD00682,2025-02-03,Laptop,Electronics,South,2,65000,0.1591675699790765,109308.22,UPI,2025,2,February,Monday,0,130000,20691.784097279946,16396.233,0.15,2,High
ORD00679,2025-02-04,Tablet,Electronics,West,6,22000,0.1368207103012186,113939.67,Net Banking,2025,2,February,Tuesday,0,132000,18060.333759760855,17090.9505,0.15,4,High
ORD01103,2025-02-04,Monitor,Electronics,East,4,15000,0.1179100476560946,52925.4,Card,2025,2,February,Tuesday,0,60000,7074.602859365676,7938.8099999999995,0.15,3,High
ORD00964,2025-02-04,Phone,Electronics,East,7,30000,0.1062756579980766,187682.11,Card,2025,2,February,Tuesday,0,210000,22317.888179596088,28152.316499999997,0.15,3,High
ORD00043,2025-02-05,Headphones,Accessories,South,7,3500,0.0901896716295634,22290.35,UPI,2025,2,February,Wednesday,0,24500,2209.6469549243034,3343.5525,0.15,2,Low
ORD00228,2025-02-05,Tablet,Electronics,East,7,22000,0.0193590213151095,151018.71,Net Banking,2025,2,February,Wednesday,0,154000,2981.289282526863,22652.8065,0.15,3,High
ORD01200,2025-02-05,Headphones,Accessories,South,6,3500,0.138813904975014,18084.91,UPI,2025,2,February,Wednesday,0,21000,2915.092004475294,2712.7365,0.15,2,Low
ORD00048,2025-02-05,Monitor,Electronics,East,4,15000,0.0513475744181016,56919.15,Net Banking,2025,2,February,Wednesday,0,60000,3080.8544650860963,8537.8725,0.15,3,High
ORD00336,2025-02-06,Monitor,Electronics,North,1,15000,0.1202807754407874,13195.79,Card,2025,2,February,Thursday,0,15000,1804.211631611811,1979.3685,0.15,1,Low
ORD01126,2025-02-06,Monitor,Electronics,West,6,15000,0.2465074357691559,67814.33,Net Banking,2025,2,February,Thursday,0,90000,22185.66921922403,10172.1495,0.15,4,High
