order_id,order_date,product,category,region,quantity,unit_price,discount,revenue,payment_method
ORD00001,2025-08-12,Laptop,Electronics,East,7,65000,0.14160516270241116,390569.65,Cash
ORD00002,2025-08-06,Headphones,Accessories,West,4,3500,0.13772719212260073,12071.82,Card
ORD00003,2025-03-22,Headphones,Accessories,East,7,3500,0.20713673120969645,19425.15,Card
ORD00004,2025-10-17,Tablet,Electronics,East,6,22000,0.17763319293566945,108552.42,UPI
ORD00005,2025-09-10,Tablet,Electronics,South,5,22000,0.006644441249322924,109269.11,UPI
ORD00006,2025-10-02,Monitor,Electronics,North,7,15000,0.012364784286503921,103701.7,Cash
ORD00007,2025-06-20,Laptop,Electronics,South,4,65000,0.15038961311400392,220898.7,Net Banking
ORD00008,2025-11-22,Headphones,Accessories,East,6,3500,0.12154801890556888,18447.49,UPI
ORD00009,2025-05-23,Phone,Electronics,North,2,30000,0.06504616383574785,56097.23,Card
ORD00010,2025-10-22,Laptop,Electronics,North,7,65000,0.10466402182870041,407377.87,Net Banking
ORD00011,2025-03-16,Tablet,Electronics,South,5,22000,0.18947757968321513,89157.47,Net Banking
ORD00012,2025-04-01,Monitor,Electronics,West,6,15000,0.2066528711644825,71401.24,UPI
ORD00013,2025-07-12,Headphones,Accessories,East,4,3500,0.14030576697251104,12035.72,Cash
ORD00014,2025-07-22,Headphones,Accessories,East,7,3500,0.09634237021427575,22139.61,UPI
ORD00015,2025-09-30,Headphones,Accessories,East,1,3500,0.06767419037377675,3263.14,UPI
ORD00016,2025-04-19,Headphones,Accessories,North,1,3500,0.13047961769231337,3043.32,UPI
ORD00017,2025-11-15,Tablet,Electronics,South,4,22000,0.07868740464109525,81075.51,Cash
ORD00018,2025-05-01,Laptop,Electronics,North,6,65000,0.14102378426180573,335000.72,UPI
ORD00019,2025-07-14,Monitor,Electronics,West,6,15000,0.16916309562740942,74775.32,Card
ORD00020,2025-12-07,Tablet,Electronics,West,4,22000,0.01651980272984871,86546.26,UPI
ORD00021,2025-07-16,Tablet,Electronics,South,5,22000,0.00026686625568680955,109970.64,Card
ORD00022,2025-09-06,Phone,Electronics,South,4,30000,0.05306928471018574,113631.69,Cash
ORD00023,2025-11-28,Laptop,Electronics,South,7,65000,0.22362787442969526,353249.32,Card
ORD00024,2025-12-22,Monitor,Electronics,West,5,15000,0.1615726908071398,62882.05,Card
ORD00025,2025-07-02,Headphones,Accessories,South,3,3500,0.042990087984255715,10048.6,Cash
ORD00026,2025-06-02,Headphones,Accessories,West,7,3500,0.2225659904559047,19047.13,Cash
ORD00027,2025-03-13,Tablet,Electronics,South,1,22000,0.117488985071835,19415.24,UPI
ORD00028,2025-07-16,Monitor,Electronics,East,7,15000,0.11902293916966517,92502.59,Net Banking
ORD00029,2025-12-02,Tablet,Electronics,East,2,22000,0.23388548596066377,33709.04,Net Banking
ORD00030,2025-06-27,Tablet,Electronics,South,3,22000,0.014871673045835004,65018.47,Cash
ORD00031,2025-05-08,Tablet,Electronics,West,6,22000,0.05379456865717963,124899.12,Cash
ORD00032,2025-02-09,Phone,Electronics,East,6,30000,0.1464428312886806,153640.29,Cash
ORD00033,2025-05-23,Laptop,Electronics,West,7,65000,0.04887162739550102,432763.41,Card
ORD00034,2025-03-28,Tablet,Electronics,,6,22000,0.16988175230223945,109575.61,Card
ORD00035,2025-12-23,Monitor,Electronics,North,5,15000,0.05352307233418005,70985.77,Card
ORD00036,2025-07-12,Laptop,Electronics,North,3,65000,0.024789242649703586,190166.1,UPI
ORD00037,2025-02-20,Monitor,Electronics,East,1,15000,0.051746289910209936,14223.81,Net Banking
ORD00038,2025-01-25,Monitor,Electronics,South,1,15000,0.10568350856801556,13414.75,Card
ORD00039,2025-11-07,Phone,Electronics,South,3,30000,0.04403457479326997,86036.89,Card
ORD00040,2025-12-06,Headphones,Accessories,North,1,3500,0.03367300623083683,3382.14,Net Banking
ORD00041,2025-10-06,Laptop,Electronics,South,4,65000,0.21507047155473522,204081.68,Cash
ORD00042,2025-02-15,Headphones,Accessories,South,6,3500,0.08009930089932696,19317.91,Cash
ORD00043,2025-02-05,Headphones,Accessories,South,7,3500,0.0901896716295634,22290.35,UPI
ORD00044,2025-03-14,Phone,Electronics,East,4,30000,0.013817602375306909,118341.89,Card
ORD00045,2025-10-02,Laptop,Electronics,East,7,65000,0.08934240587551354,414349.21,Cash
ORD00046,2025-10-07,Monitor,Electronics,South,7,15000,0.06620179433039491,98048.81,Card
ORD00047,2025-11-02,Tablet,Electronics,North,7,22000,0.15262126683544713,130496.32,UPI
ORD00048,2025-02-05,Monitor,Electronics,East,4,15000,0.05134757441810167,56919.15,Net Banking
ORD00049,2025-02-25,Headphones,Accessories,North,3,3500,0.22209136326571013,8168.04,Card
ORD00050,2025-11-25,Headphones,Accessories,South,7,3500,0.23241665522988877,18805.79,Cash
ORD00051,2025-12-05,Headphones,Accessories,South,2,3500,0.02495776429419755,6825.3,Card
ORD00052,2025-09-22,Laptop,Electronics,North,3,65000,0.026850739072144303,189764.11,Cash
ORD00053,2025-02-08,Phone,Electronics,South,1,30000,0.028831609527746993,29135.05,Net Banking
ORD00054,2025-01-26,Tablet,Electronics,South,6,22000,0.154892314077578,111554.21,Net Banking
ORD00055,2025-01-21,Tablet,Electronics,West,5,22000,0.030492241052405722,106645.85,UPI
ORD00056,2025-09-10,Laptop,Electronics,West,1,65000,0.21309557948256658,51148.79,Cash
ORD00057,2025-11-05,Tablet,Electronics,North,2,22000,0.18856787873447312,35703.01,Net Banking
ORD00058,2025-08-19,Laptop,Electronics,East,4,65000,0.20495221455950602,206712.42,Cash
ORD00059,2025-04-06,Headphones,Accessories,East,4,3500,0.13151513172150522,12158.79,UPI
ORD00060,2025-10-04,Headphones,Accessories,South,6,3500,0.24916930287978836,15767.44,UPI
ORD00061,2025-01-22,Monitor,Electronics,South,2,15000,0.011043775736040318,29668.69,UPI
ORD00062,2025-10-30,Headphones,Accessories,West,7,3500,0.10031624104652834,22042.25,UPI
ORD00063,2025-11-22,Phone,Electronics,South,4,30000,0.08098416723440904,110281.9,Net Banking
ORD00064,2025-09-20,Monitor,Electronics,North,6,15000,0.23716137467816026,68655.48,Net Banking
ORD00065,2025-11-17,Tablet,Electronics,South,2,22000,0.14421523962439822,37654.53,Cash
ORD00066,2025-08-02,Phone,Electronics,South,1,30000,0.2015477413611813,23953.57,Cash
ORD00067,2025-06-20,Monitor,Electronics,South,1,15000,0.04258529841462971,14361.22,Net Banking
ORD00068,2025-04-28,Phone,Electronics,North,3,30000,0.24465853597510973,67980.73,Card
ORD00069,2025-12-03,Laptop,Electronics,North,7,65000,0.1246598867190788,398279.75,Card
ORD00070,2025-09-12,Tablet,Electronics,West,1,22000,0.12341801906766145,19284.8,Cash
ORD00071,2025-03-11,Headphones,Accessories,North,3,3500,0.24272118213643445,7951.43,Card
ORD00072,2025-12-16,Laptop,Electronics,East,1,65000,0.09518309030428626,58813.1,UPI
ORD00073,2025-01-22,Tablet,Electronics,East,7,22000,0.09938125613874824,138695.29,Cash
ORD00074,2025-08-03,Laptop,Electronics,,5,65000,0.14618817570123416,277488.84,Net Banking
ORD00075,2025-03-11,Headphones,Accessories,West,6,3500,0.032013152636946735,20327.72,UPI
ORD00076,2025-08-31,Tablet,Electronics,North,5,22000,0.08027140660296372,101170.15,UPI
ORD00077,2025-05-31,Phone,Electronics,South,5,30000,0.04830208061128263,142754.69,Card
ORD00078,2025-06-09,Phone,Electronics,North,6,30000,0.0258208697767624,175352.24,Net Banking
ORD00079,2025-09-03,Tablet,Electronics,East,1,22000,0.21653615158275502,17236.2,Cash
ORD00080,2025-10-03,Headphones,Accessories,East,7,3500,,20890.35,Cash
ORD00081,2025-05-19,Monitor,Electronics,West,6,15000,0.0896681978819778,81929.86,Cash
ORD00082,2025-12-31,Tablet,Electronics,South,6,22000,0.1021673443416782,118513.91,Card
ORD00083,2025-07-01,Laptop,Electronics,North,3,65000,0.10787975092183866,173963.45,Cash
ORD00084,2025-02-28,Monitor,Electronics,West,6,15000,,75754.14,UPI
ORD00085,2025-01-03,Headphones,Accessories,East,3,3500,0.23169234787224832,8067.23,UPI
ORD00086,2025-03-15,Headphones,Accessories,West,1,3500,0.23319490491424563,2683.82,Net Banking
ORD00087,2025-09-10,Laptop,Electronics,South,7,65000,0.09787299488266585,410467.79,Cash
ORD00088,2025-07-16,Phone,Electronics,South,2,30000,0.08231561489944239,55061.06,UPI
ORD00089,2025-05-04,Headphones,Accessories,South,1,3500,0.11276162504631376,3105.33,Card
ORD00090,2025-06-25,Monitor,Electronics,East,5,15000,0.14198355760712314,64351.23,UPI
ORD00091,2025-11-02,Tablet,Electronics,North,2,22000,0.11545447786243707,38920.0,Cash
ORD00092,2025-07-28,Monitor,Electronics,West,7,15000,0.16468835245417524,87707.72,Net Banking
ORD00093,2025-01-22,Monitor,Electronics,North,4,15000,0.13859975584494091,51684.01,Card
ORD00094,2025-01-18,Phone,Electronics,South,1,30000,0.08017888667351902,27594.63,Card
ORD00095,2025-06-25,Monitor,Electronics,South,7,15000,0.08643270144065815,95924.57,UPI
ORD00096,2025-05-28,Phone,Electronics,East,4,30000,0.09464819688993273,108642.22,Card
ORD00097,2025-11-07,Phone,Electronics,East,2,30000,0.023659942062347172,58580.4,Card
ORD00098,2025-08-01,Headphones,Accessories,West,5,3500,0.04151565810349328,16773.48,UPI
